Borough,Year,Week,Total accidents,Lethal accidents
BROOKLYN,2013,17,910,1
BROOKLYN,2013,18,979,0
BROOKLYN,2013,19,1018,1
BROOKLYN,2013,20,879,1
BROOKLYN,2013,21,989,0
BROOKLYN,2013,22,999,2
BROOKLYN,2013,23,1023,0
BROOKLYN,2013,24,982,3
BROOKLYN,2013,25,1084,0
BROOKLYN,2013,26,955,0
BROOKLYN,2013,27,939,2
BROOKLYN,2013,28,901,1
BROOKLYN,2013,29,921,0
BROOKLYN,2013,30,851,3
BROOKLYN,2013,31,884,0
BROOKLYN,2013,32,849,2
BROOKLYN,2013,33,877,4
BROOKLYN,2013,34,887,2
BROOKLYN,2013,35,913,2
BROOKLYN,2013,36,847,0
BROOKLYN,2013,37,982,1
BROOKLYN,2013,38,883,2
BROOKLYN,2013,39,816,1
BROOKLYN,2013,40,924,0
BROOKLYN,2013,41,905,2
BROOKLYN,2013,42,870,3
BROOKLYN,2013,43,944,2
BROOKLYN,2013,44,906,2
BROOKLYN,2013,45,954,0
BROOKLYN,2013,46,889,0
BROOKLYN,2013,47,963,1
BROOKLYN,2013,48,952,2
BROOKLYN,2013,49,921,0
BROOKLYN,2013,50,950,1
BROOKLYN,2013,51,1044,0
BROOKLYN,2013,52,788,2
BROOKLYN,2014,1,748,2
BROOKLYN,2014,2,886,3
BROOKLYN,2014,3,836,0
BROOKLYN,2014,4,954,0
BROOKLYN,2014,5,941,2
BROOKLYN,2014,6,972,2
BROOKLYN,2014,7,945,2
BROOKLYN,2014,8,809,1
BROOKLYN,2014,9,831,0
BROOKLYN,2014,10,819,2
BROOKLYN,2014,11,869,1
BROOKLYN,2014,12,867,3
BROOKLYN,2014,13,847,0
BROOKLYN,2014,14,928,2
BROOKLYN,2014,15,960,1
BROOKLYN,2014,16,770,1
BROOKLYN,2014,17,813,1
BROOKLYN,2014,18,974,2
BROOKLYN,2014,19,914,2
BROOKLYN,2014,20,990,0
BROOKLYN,2014,21,929,4
BROOKLYN,2014,22,947,1
BROOKLYN,2014,23,1005,1
BROOKLYN,2014,24,961,2
BROOKLYN,2014,25,1024,0
BROOKLYN,2014,26,994,2
BROOKLYN,2014,27,944,2
BROOKLYN,2014,28,925,2
BROOKLYN,2014,29,867,2
BROOKLYN,2014,30,904,1
BROOKLYN,2014,31,956,1
BROOKLYN,2014,32,880,0
BROOKLYN,2014,33,887,2
BROOKLYN,2014,34,826,0
BROOKLYN,2014,35,920,1
BROOKLYN,2014,36,1012,3
BROOKLYN,2014,37,987,0
BROOKLYN,2014,38,955,1
BROOKLYN,2014,39,944,1
BROOKLYN,2014,40,938,0
BROOKLYN,2014,41,895,1
BROOKLYN,2014,42,854,0
BROOKLYN,2014,43,1063,3
BROOKLYN,2014,44,1032,1
BROOKLYN,2014,45,922,1
BROOKLYN,2014,46,890,0
BROOKLYN,2014,47,982,2
BROOKLYN,2014,48,837,1
BROOKLYN,2014,49,947,1
BROOKLYN,2014,50,983,1
BROOKLYN,2014,51,941,2
BROOKLYN,2014,52,814,1
BROOKLYN,2015,1,759,0
BROOKLYN,2015,2,955,2
BROOKLYN,2015,3,926,0
BROOKLYN,2015,4,866,0
BROOKLYN,2015,5,784,0
BROOKLYN,2015,6,1087,0
BROOKLYN,2015,7,951,2
BROOKLYN,2015,8,892,2
BROOKLYN,2015,9,648,2
BROOKLYN,2015,10,1159,0
